,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
0,Edificio Step,UF,2550,21 a 53 m² útiles,1 a 2 dormitorios,1 baño,129 unidades disponibles,https://www.portalinmobiliario.com/MLC-1680912136-edificio-step-_JM#position=1&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
1,Meneses,UF,2590,35 a 68 m² útiles,1 a 3 dormitorios,1 a 2 baños,21 unidades disponibles,https://www.portalinmobiliario.com/MLC-983000857-meneses-_JM#position=2&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
2,Eco Irarrázaval,UF,2965,26 a 62 m² útiles,1 a 2 dormitorios,1 a 2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600031250-eco-irarrazaval-_JM#position=3&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
3,Manuel Montt 2630,UF,2621,22 a 86 m² útiles,1 a 3 dormitorios,1 a 2 baños,24 unidades disponibles,https://www.portalinmobiliario.com/MLC-2063374134-manuel-montt-2630-_JM#position=4&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
4,Mirador 950,UF,1809,22 a 45 m² útiles,1 a 2 dormitorios,1 a 2 baños,299 unidades disponibles,https://www.portalinmobiliario.com/MLC-1390475117-mirador-950-_JM#position=5&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
5,Europa,UF,5568,29 a 117 m² útiles,1 a 3 dormitorios,1 a 3 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-1564935088-europa-_JM#position=6&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
6,Almagro Huáscar,UF,4430,45 a 118 m² útiles,1 a 3 dormitorios,1 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1419403111-almagro-huascar-_JM#position=7&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
7,Karun,UF,9390,68 a 151 m² útiles,2 a 3 dormitorios,2 a 3 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1016779940-karun-_JM#position=8&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
8,Laguna del Mar,UF,2290,33 a 80 m² útiles,1 a 3 dormitorios,1 a 2 baños,45 unidades disponibles,https://www.portalinmobiliario.com/MLC-2178946736-laguna-del-mar-_JM#position=9&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
9,CU Apartments,UF,4183,29 a 66 m² útiles,1 a 2 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1450272629-cu-apartments-_JM#position=10&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
10,Tempo Inés,UF,2290,33 a 80 m² útiles,1 a 3 dormitorios,1 a 2 baños,46 unidades disponibles,https://www.portalinmobiliario.com/MLC-625887293-tempo-ines-_JM#position=11&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
11,Costa Higuerillas,UF,3680,36 a 80 m² útiles,1 a 3 dormitorios,1 a 2 baños,25 unidades disponibles,https://www.portalinmobiliario.com/MLC-1375132827-costa-higuerillas-_JM#position=12&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
12,José Pedro Alessandri,UF,3390,33 a 60 m² útiles,1 a 2 dormitorios,1 a 2 baños,18 unidades disponibles,https://www.portalinmobiliario.com/MLC-982950208-jose-pedro-alessandri-_JM#position=13&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
13,Vista Cerro Larraín,UF,1569,21 a 55 m² útiles,1 a 2 dormitorios,1 a 2 baños,19 unidades disponibles,https://www.portalinmobiliario.com/MLC-1432330145-vista-cerro-larrain-_JM#position=14&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
14,Vicuña,UF,2400,33 a 57 m² útiles,1 a 2 dormitorios,1 a 2 baños,21 unidades disponibles,https://www.portalinmobiliario.com/MLC-983000863-vicuna-_JM#position=15&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
15,Plaza Manuel Montt,UF,5056,55 a 92 m² útiles,2 a 3 dormitorios,2 a 3 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1565787746-plaza-manuel-montt-_JM#position=16&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
16,M Ñuñoa,UF,2605,33 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1565777394-m-nunoa-_JM#position=17&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
17,Sky 100,UF,3308,36 a 72 m² útiles,1 a 2 dormitorios,1 a 2 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1560608486-sky-100-_JM#position=18&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
18,Almagro Padre Le Paige,UF,7000,77 a 81 m² útiles,2 dormitorios,2 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1929098084-almagro-padre-le-paige-_JM#position=19&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
19,Marparaíso 6a,UF,1884,41 a 59 m² útiles,1 a 2 dormitorios,1 a 2 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-635924060-marparaiso-6a-_JM#position=20&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
20,Duble Almeyda 2560,UF,3520,30 a 54 m² útiles,1 a 2 dormitorios,1 a 2 baños,35 unidades disponibles,https://www.portalinmobiliario.com/MLC-562054983-duble-almeyda-2560-_JM#position=21&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
21,Pedro Rico 5525,UF,4199,37 a 73 m² útiles,1 a 2 dormitorios,1 a 2 baños,35 unidades disponibles,https://www.portalinmobiliario.com/MLC-2039265438-pedro-rico-5525-_JM#position=22&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
22,Edificio Del Río,UF,6988,49 a 132 m² útiles,1 a 3 dormitorios,1 a 3 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588253362-edificio-del-rio-_JM#position=23&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
23,Parque Estocolmo,UF,11544,86 a 137 m² útiles,2 a 3 dormitorios,2 a 3 baños,29 unidades disponibles,https://www.portalinmobiliario.com/MLC-1461005389-parque-estocolmo-_JM#position=24&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
24,131WOOD,UF,1890,23 a 80 m² útiles,1 a 4 dormitorios,1 a 2 baños,62 unidades disponibles,https://www.portalinmobiliario.com/MLC-1439389027-131wood-_JM#position=25&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
25,Darío Urzua,UF,6522,44 a 134 m² útiles,1 a 3 dormitorios,1 a 3 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1393594021-dario-urzua-_JM#position=26&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
26,Entre Sauces,UF,8049,66 a 151 m² útiles,1 a 4 dormitorios,1 a 4 baños,13 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588522530-entre-sauces-_JM#position=27&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
27,Refugio La Dehesa,UF,13679,136 a 146 m² útiles,4 dormitorios,3 a 4 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-979169029-refugio-la-dehesa-_JM#position=28&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
28,252MARATHON,UF,2490,36 a 74 m² útiles,1 a 3 dormitorios,1 a 2 baños,74 unidades disponibles,https://www.portalinmobiliario.com/MLC-1439453923-252marathon-_JM#position=29&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
29,Condell,UF,6040,49 a 93 m² útiles,1 a 3 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-983026650-condell-_JM#position=30&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
30,Alto Dominicos Segunda Etapa,UF,14027,137 a 285 m² útiles,4 a 5 dormitorios,4 a 5 baños,60 unidades disponibles,https://www.portalinmobiliario.com/MLC-1511602658-alto-dominicos-segunda-etapa-_JM#position=31&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
31,Altos de San Andrés,UF,3350,42 a 88 m² útiles,1 a 3 dormitorios,1 a 3 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599926184-altos-de-san-andres-_JM#position=32&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
32,VM Boulevard,UF,2890,34 a 70 m² útiles,1 a 3 dormitorios,1 a 2 baños,140 unidades disponibles,https://www.portalinmobiliario.com/MLC-1450259869-vm-boulevard-_JM#position=33&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
33,Laguna Centro - Torre G,UF,2978,32 a 62 m² útiles,1 a 3 dormitorios,1 a 2 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-521158238-laguna-centro-torre-g-_JM#position=34&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
34,Los Alerces 2222,UF,2976,34 a 71 m² útiles,1 a 3 dormitorios,1 a 2 baños,60 unidades disponibles,https://www.portalinmobiliario.com/MLC-1415218375-los-alerces-2222-_JM#position=35&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
35,Edificio O`Brien,UF,13508,80 a 131 m² útiles,1 a 3 dormitorios,1 a 3 baños,12 unidades disponibles,https://www.portalinmobiliario.com/MLC-1586972550-edificio-obrien-_JM#position=36&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
36,Almagro Isabel La Católica,UF,12090,127 a 141 m² útiles,3 a 4 dormitorios,3 a 4 baños,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1419402925-almagro-isabel-la-catolica-_JM#position=37&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
37,Siena Christiensen 838,UF,9867,68 a 130 m² útiles,2 a 3 dormitorios,2 a 3 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-2260278900-siena-christiensen-838-_JM#position=38&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
38,42LINARES,UF,6750,61 a 135 m² útiles,1 a 3 dormitorios,2 a 3 baños,20 unidades disponibles,https://www.portalinmobiliario.com/MLC-1439453583-42linares-_JM#position=39&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
39,Eco Egaña,UF,4004,30 a 60 m² útiles,1 a 2 dormitorios,1 a 2 baños,298 unidades disponibles,https://www.portalinmobiliario.com/MLC-1378481927-eco-egana-_JM#position=40&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
40,Edificio Terra,UF,8800,80 a 130 m² útiles,2 a 4 dormitorios,2 a 3 baños,32 unidades disponibles,https://www.portalinmobiliario.com/MLC-2146217698-edificio-terra-_JM#position=41&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
41,Tempo Trinidad,UF,2355,34 a 73 m² útiles,1 a 3 dormitorios,1 a 2 baños,33 unidades disponibles,https://www.portalinmobiliario.com/MLC-616884133-tempo-trinidad-_JM#position=42&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
42,Eco España,UF,2682,27 a 58 m² útiles,1 a 2 dormitorios,1 a 2 baños,162 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600044872-eco-espana-_JM#position=43&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
43,Terrazas del Sol IV,UF,4150,49 a 70 m² útiles,2 a 3 dormitorios,2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599953296-terrazas-del-sol-iv-_JM#position=44&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
44,Aires Malbec,UF,6450,54 a 100 m² útiles,1 a 3 dormitorios,1 a 3 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1398638635-aires-malbec-_JM#position=45&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
45,Camargo Plaza,UF,12221,99 a 139 m² útiles,2 a 4 dormitorios,2 a 4 baños,39 unidades disponibles,https://www.portalinmobiliario.com/MLC-998686353-camargo-plaza-_JM#position=46&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
46,Edificio El Nogal,UF,9791,78 a 124 m² útiles,2 a 3 dormitorios,2 a 3 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1929085780-edificio-el-nogal-_JM#position=47&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
47,Edificio Pucará,UF,7065,63 a 115 m² útiles,2 a 3 dormitorios,2 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-1593151492-edificio-pucara-_JM#position=48&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
0,Velas del Norte 2,UF,2080,31 a 67 m² útiles,1 a 3 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588016018-velas-del-norte-2-_JM#position=1&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
1,Marparaíso 3,UF,2461,49 a 78 m² útiles,2 a 3 dormitorios,2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1416094075-marparaiso-3-_JM#position=2&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
2,Víctor Lamas B,UF,3066,38 a 64 m² útiles,1 a 2 dormitorios,1 a 2 baños,21 unidades disponibles,https://www.portalinmobiliario.com/MLC-535767112-victor-lamas-b-_JM#position=3&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
3,Parque El Rodeo,UF,5380,46 a 120 m² útiles,1 a 3 dormitorios,1 a 3 baños,102 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588536106-parque-el-rodeo-_JM#position=4&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
4,Eco Quilín I,UF,3171,28 a 74 m² útiles,1 a 3 dormitorios,1 a 2 baños,97 unidades disponibles,https://www.portalinmobiliario.com/MLC-1843784994-eco-quilin-i-_JM#position=5&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
5,Altos de Idahue – Edificio Coihue,UF,3840,51 a 139 m² útiles,1 a 4 dormitorios,1 a 4 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600016402-altos-de-idahue-edificio-coihue-_JM#position=6&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
6,Eco Valdés II,UF,2913,27 a 49 m² útiles,1 a 2 dormitorios,1 a 2 baños,119 unidades disponibles,https://www.portalinmobiliario.com/MLC-1391696947-eco-valdes-ii-_JM#position=7&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
7,Altavista IV,UF,3350,39 a 120 m² útiles,1 a 3 dormitorios,1 a 2 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1445120301-altavista-iv-_JM#position=8&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
8,Edificios Dúo Carvajal,UF,1899,27 a 61 m² útiles,1 a 3 dormitorios,1 a 2 baños,70 unidades disponibles,https://www.portalinmobiliario.com/MLC-2017270232-edificios-duo-carvajal-_JM#position=9&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
9,Condominio Los Sauces 3,UF,4550,52 a 91 m² útiles,2 a 3 dormitorios,2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599952982-condominio-los-sauces-3-_JM#position=10&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
10,Plaza La Florida,UF,3416,54 a 95 m² útiles,2 a 3 dormitorios,2 a 3 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1054816042-plaza-la-florida-_JM#position=11&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
11,Condominio Ulriksen,UF,2354,34 a 68 m² útiles,1 a 3 dormitorios,1 a 2 baños,37 unidades disponibles,https://www.portalinmobiliario.com/MLC-2193490900-condominio-ulriksen-_JM#position=12&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
12,Edificio Acqua,UF,8028,70 m² útiles,2 dormitorios,2 baños,1 unidad disponible,https://www.portalinmobiliario.com/MLC-1374698331-edificio-acqua-_JM#position=13&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
13,Distrito Bustamante,UF,2660,22 a 58 m² útiles,1 a 2 dormitorios,1 a 2 baños,62 unidades disponibles,https://www.portalinmobiliario.com/MLC-2162663844-distrito-bustamante-_JM#position=14&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
14,Distrito Parque,UF,3092,33 a 56 m² útiles,1 a 2 dormitorios,1 a 2 baños,47 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379768919-distrito-parque-_JM#position=15&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
15,Edificio New,UF,2690,30 a 58 m² útiles,1 a 2 dormitorios,1 a 2 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-2085210458-edificio-new-_JM#position=16&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
16,Candelaria 4500,UF,13470,79 a 141 m² útiles,2 a 4 dormitorios,2 a 4 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1568362894-candelaria-4500-_JM#position=17&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
17,Almagro Lyon Bilbao,UF,6940,59 a 114 m² útiles,2 a 3 dormitorios,2 a 3 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1457479067-almagro-lyon-bilbao-_JM#position=18&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
18,Eco Valdés I,UF,2811,26 a 47 m² útiles,1 a 2 dormitorios,1 baño,227 unidades disponibles,https://www.portalinmobiliario.com/MLC-1434208161-eco-valdes-i-_JM#position=19&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
19,Tempo Mackenna,UF,2475,34 a 68 m² útiles,1 a 3 dormitorios,1 a 2 baños,47 unidades disponibles,https://www.portalinmobiliario.com/MLC-1893930482-tempo-mackenna-_JM#position=20&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
20,Edificio Trinidad Ramírez,UF,1990,31 a 50 m² útiles,1 a 2 dormitorios,1 a 2 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610714940-edificio-trinidad-ramirez-_JM#position=21&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
21,Edificio Santa Victoria 9615,UF,2806,34 a 73 m² útiles,1 a 3 dormitorios,1 a 2 baños,34 unidades disponibles,https://www.portalinmobiliario.com/MLC-2263654410-edificio-santa-victoria-9615-_JM#position=22&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
22,Condominio Terralta Los Dominicos Las Condes,UF,24090,203 m² útiles,4 dormitorios,4 baños,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1388597407-condominio-terralta-los-dominicos-las-condes-_JM#position=23&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
23,Almagro Víctor Rae,UF,11990,127 a 131 m² útiles,3 dormitorios,3 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-2083696532-almagro-victor-rae-_JM#position=24&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
24,Edificio B.Come Concepción,UF,2322,24 a 52 m² útiles,1 a 2 dormitorios,1 a 2 baños,174 unidades disponibles,https://www.portalinmobiliario.com/MLC-1409516203-edificio-bcome-concepcion-_JM#position=25&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
25,Souper,UF,1650,25 a 49 m² útiles,1 a 2 dormitorios,1 a 2 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-1445094443-souper-_JM#position=26&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
26,Zenteno,UF,2535,30 a 46 m² útiles,1 a 2 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1449091039-zenteno-_JM#position=27&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
27,Alike,UF,1630,22 a 87 m² útiles,1 a 3 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-2177297236-alike-_JM#position=28&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
28,Irarrázaval Aldunate,UF,3015,28 a 60 m² útiles,1 a 2 dormitorios,1 a 2 baños,129 unidades disponibles,https://www.portalinmobiliario.com/MLC-2125604544-irarrazaval-aldunate-_JM#position=29&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
29,Brava,UF,3142,33 a 53 m² útiles,1 a 2 dormitorios,1 a 2 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1565705142-brava-_JM#position=30&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
30,Laguna Centro - Torre H,UF,2828,32 a 60 m² útiles,1 a 3 dormitorios,1 a 2 baños,69 unidades disponibles,https://www.portalinmobiliario.com/MLC-1375183755-laguna-centro-torre-h-_JM#position=31&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
31,Avellanos,UF,3315,34 a 56 m² útiles,1 a 2 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-2244635278-avellanos-_JM#position=32&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
32,276SANTIAGO,UF,2490,24 a 42 m² útiles,1 a 2 dormitorios,1 baño,178 unidades disponibles,https://www.portalinmobiliario.com/MLC-1439402165-276santiago-_JM#position=33&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
33,Edificio Los Robles,UF,9990,92 a 121 m² útiles,2 a 3 dormitorios,2 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588560056-edificio-los-robles-_JM#position=34&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
34,Jardines Del Portal II,UF,4620,70 a 150 m² útiles,2 a 3 dormitorios,2 a 3 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600028690-jardines-del-portal-ii-_JM#position=35&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
35,Chiloé-Prat,UF,2425,30 a 50 m² útiles,1 a 2 dormitorios,1 a 2 baños,21 unidades disponibles,https://www.portalinmobiliario.com/MLC-1449091059-chiloe-prat-_JM#position=36&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
36,Mirador Playa Brava 3,UF,2822,31 a 53 m² útiles,1 a 2 dormitorios,1 a 2 baños,99 unidades disponibles,https://www.portalinmobiliario.com/MLC-1568376134-mirador-playa-brava-3-_JM#position=37&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
37,Siena Parque Vicuña Mackenna 10811,UF,2852,31 a 61 m² útiles,1 a 3 dormitorios,1 a 2 baños,42 unidades disponibles,https://www.portalinmobiliario.com/MLC-1717896914-siena-parque-vicuna-mackenna-10811-_JM#position=38&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
38,Element de Barrio Parque,UF,3280,33 a 89 m² útiles,1 a 3 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1377860617-element-de-barrio-parque-_JM#position=39&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
39,Eco Espacios,UF,3237,27 a 63 m² útiles,1 a 2 dormitorios,1 a 2 baños,294 unidades disponibles,https://www.portalinmobiliario.com/MLC-1397027741-eco-espacios-_JM#position=40&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
40,Faro Norte - Etapa II,UF,3100,48 a 86 m² útiles,2 a 3 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588534230-faro-norte-etapa-ii-_JM#position=41&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
41,Eco Quilín II,UF,3947,35 a 81 m² útiles,1 a 3 dormitorios,1 a 2 baños,89 unidades disponibles,https://www.portalinmobiliario.com/MLC-1408297079-eco-quilin-ii-_JM#position=42&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
42,Edificio Euclides 12once,UF,2852,29 a 56 m² útiles,1 a 2 dormitorios,1 a 2 baños,148 unidades disponibles,https://www.portalinmobiliario.com/MLC-1914537556-edificio-euclides-12once-_JM#position=43&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
43,Edificio Terra Nueva,UF,3155,34 a 72 m² útiles,1 a 3 dormitorios,1 a 2 baños,60 unidades disponibles,https://www.portalinmobiliario.com/MLC-1460986145-edificio-terra-nueva-_JM#position=44&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
44,Nucleos Queretaro 1750,UF,13558,99 a 141 m² útiles,3 dormitorios,3 a 4 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1568338078-nucleos-queretaro-1750-_JM#position=45&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
45,Mirador Laguna Esmeralda,UF,1760,22 a 53 m² útiles,1 a 2 dormitorios,1 a 2 baños,85 unidades disponibles,https://www.portalinmobiliario.com/MLC-1394410049-mirador-laguna-esmeralda-_JM#position=46&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
46,Edificio Exequiel,UF,2639,32 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,23 unidades disponibles,https://www.portalinmobiliario.com/MLC-2174950616-edificio-exequiel-_JM#position=47&search_layout=grid&type=item&tracking_id=0c40c2ba-3025-4875-8baf-5e573aa38db3
