,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
39,Plaza Los Canelos,UF,2821,36 a 114 m² útiles,1 a 3 dormitorios,1 a 3 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1592320564-plaza-los-canelos-_JM#position=40&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
40,Edificio Angular,UF,9140,72 a 105 m² útiles,2 a 3 dormitorios,2 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1684259100-edificio-angular-_JM#position=41&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
41,Alto Mirador,UF,1939,35 a 75 m² útiles,1 a 3 dormitorios,1 a 2 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569118518-alto-mirador-_JM#position=42&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
42,Parque Torreones,UF,2753,62 a 69 m² útiles,3 dormitorios,2 baños,49 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600047494-parque-torreones-_JM#position=43&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
43,Villagra 161,UF,3120,26 a 49 m² útiles,1 a 2 dormitorios,1 a 2 baños,17 unidades disponibles,https://www.portalinmobiliario.com/MLC-1669974180-villagra-161-_JM#position=44&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
44,Lo Encalada,UF,3494,33 a 68 m² útiles,1 a 3 dormitorios,1 a 3 baños,19 unidades disponibles,https://www.portalinmobiliario.com/MLC-1723686660-lo-encalada-_JM#position=45&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
45,La Granja,UF,1700,29 a 49 m² útiles,1 a 3 dormitorios,1 baño,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1118696168-la-granja-_JM#position=46&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
46,Quillota 21,UF,1790,49 a 114 m² útiles,2 a 3 dormitorios,1 a 3 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1055380595-quillota-21-_JM#position=47&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
47,Condominio Parque Escondido,UF,1795,33 a 63 m² útiles,1 a 3 privados,1 a 2 baños,99 unidades disponibles,https://www.portalinmobiliario.com/MLC-1079074136-condominio-parque-escondido-_JM#position=48&search_layout=grid&type=item&tracking_id=466f57ab-c712-4509-850a-19ca56019b63
0,Edificio Eliodoro Yañez 2477,UF,7640,65 a 93 m² útiles,2 a 3 dormitorios,2 baños,55 unidades disponibles,https://www.portalinmobiliario.com/MLC-2204637312-edificio-eliodoro-yanez-2477-_JM#position=1&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
